"№ п\п";"Регистрационный
номер маршрута
регулярных перевозок";"Порядковый номер
маршрута регулярных
перевозок, который
присвоен ему
организатором перевозок";"Наименование маршрута
регулярных перевозок
в виде наименования
начального остановочного
пункта и конечного
остановочного пункта
по маршруту регулярных
перевозок или в
виде наименований
поселений, в
границах которых
расположены начаный
остановочный пункт
и конечный остановочный
пункт по данному маршруту";"Наименования промежуточных
остановочных пунктов
по маршруту регулярных
перевозок или наименования
поселений, в границах
которых расположены
промежуточные остановочные
пункты";"Наименования улиц,
автомобильных дорог,
по которым предполагается
движение транспортных
средств между
остановочными пунктами
по маршруту регулярных
перевозок";"Протяженность маршрута
регулярных перевозок";"Порядок посадки и
высадки пассажиров(только
в установленных остановочных
пункта или если это
не запрещено действующим
законодательством, в
любом не запрещенном правилами
дорожного движения месте
по маршруту регулярных
перевозок)";"Вид регулярных
перевозок";"Виды транспортных средств";"Классы транспортных средств";"Максимальное количество
транспортных средств каждого класса";"Экологические
характеристики
транспортных средств,
которые используются
для перевозок по маршруту
регулярных перевозок";"Дата начала
осуществления регулярных
"602";"602";"870/2";"г. Ростов-на-Дону – ст. Тацинская – г. Ростов-на-Дону";"г. Белая Калитва,
рп. Шолоховский";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Театральная,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-86,
г. Белая Калитва, ул. Щаденко,
автомобильная дорога 60 ОП РЗ 60К-87,
автомобильная дорога А-260,
автомобильная дорога 60 ОП МЗ 60Н-90,
рп. Шолоховский, ул. Социалистическая,
автомобильная дорога 60 ОП МЗ 60Н-90,
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-304,
ст-ца. Тацинская, пер. Соревнования,
ст-ца. Тацинская, ул. М.Горького";"226.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Большой";"1";"не ниже Euro-4";"30.07.2014";"ООО «Алан-Транс»";"347873, Ростовская область, г. Гуково, ул. Розы Люксембург, 2А"
"603";"603";"870/3";"г. Ростов-на-Дону – ст. Тацинская ";"г. Новочеркасск,
г. Шахты,
г. Белая Калитва,
рп. Шолоховский";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Новочеркасск, ул. Ростовское шоссе,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, ул. Маяковского,
г. Шахты, пер. Громова,
г. Шахты, ул. Дачная,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-86,
г. Белая Калитва, ул. Набережная,
г. Белая Калитва, ул. Степная,
г. Белая Калитва, ул. Щаденко,
автомобильная дорога 60 ОП РЗ 60К-87,
автомобильная дорога А-260,
рп. Шолоховский, ул. Социалистическая,
рп. Шолоховский, ул. Пушкина,
рп. Шолоховский, ул. Советская,
рп. Шолоховский, ул. Степная,
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-304,
ст-ца. Тацинская, пер. Соревнования,
ст-ца. Тацинская, ул. Кравцова,
ст-ца. Тацинская, ул. Пролетарская,
ст-ца. Тацинская, пер. Буденовский";"233.0";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Большой";"1";"не ниже Euro-4";"19.02.2018";"ООО «Ростовская транспортная компания»";"346782,Ростовская область, г. Азов, ул. Привокзальная, 4"
"604";"604";"870/4";"г. Ростов-на-Дону  – ст. Тацинская  –  г. Ростов-на-Дону";"г. Новочеркасск,
г. Шахты,
г. Белая Калитва,
рп. Шолоховский,
х. Гремучий,
п. Углегорский";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-76,
г. Новочеркасск, ул. Ростовское шоссе,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, ул. Маяковского,
г. Шахты, пер. Громова,
г. Шахты, ул. Дачная,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-86,
г. Белая Калитва, ул. Щаденко,
автомобильная дорога 60 ОП РЗ 60К-87,
автомобильная дорога А-260,
автомобильная дорога 60 ОП МЗ 60Н-90,
рп. Шолоховский, ул. Социалистическая,
автомобильная дорога 60 ОП МЗ 60Н-90,
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-304,
ст-ца. Тацинская, ул. Сосновая,
ст-ца. Тацинская, пер. Соревнования,
ст-ца. Тацинская, ул. М.Горького";"233.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-2";"03.12.2013";"ООО «Юг Транс Сервис»";"346782, Ростовская область, г. Азов, ул. Привокзальная, 4"
"605";"605";"890/1";"г. Ростов-на-Дону – р.п. Усть-Донецкий ";"г. Новочеркасск,
п. Персиановский,
х. Ягодинка,
п. Керчикский (поворот),
ст-ца. Мелиховская (поворот),
х. Пухляковский (поворот),
ст-ца. Раздорская (поворот),
х. Коныгин (поворот)";"г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-76 ,
г. Новочеркасск, ул. Ростовское шоссе,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
автомобильная дорога 60 ОП РЗ 60К-246,
автомобильная дорога 60 ОП РЗ60К-11,
автомобильная дорога 60 ОП РЗ 60К-10,
автомобильная дорога 60 ОП РЗ 60К-311,
рп. Усть-Донецкий, ул. Промышленная,
рп. Усть-Донецкий, ул. Строителей,
рп. Усть-Донецкий, ул. Горького";"145.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"2";"не ниже Euro-3";"21.05.2018";"ООО «Автосервис»";"346550, Ростовская область, р.п.Усть-Донецкий, ул. Промышленная, 21"
"606";"606";"891";"г. Ростов-на-Дону – р.п. Усть-Донецкий ";"г. Новочеркасск,
п. Персиановский,
г. Шахты,
х. Киреевка,
п. Равнинный,
х. Чернышев,
х. Голубинка,
х. Тереховский,
х. Евсеевский,
х. Мостовой,
ст-ца. Верхнекундрюченская,
х. Черни,
ст-ца. Нижнекундрюченская";"г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-76 ,
г. Новочеркасск, ул. Ростовское шоссе,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, пер. Комиссаровский,
г. Шахты, ул. Ионова,
г. Шахты, пер. Енисейский,
г. Шахты, пр-кт. Ленинского Комсомола,
г. Шахты, пер. Довженко,
г. Шахты, ул. Горняцкая,
автомобильная дорога 60 ОП РЗ 60К-20,
х. Киреевка, ул. Фрунзе,
х. Киреевка, ул. Буденного,
автомобильная дорога 60 ОП РЗ 60К-20,
автомобильная дорога 60 ОП МЗ 60Н-47,
х. Тереховский, ул. Мира,
автомобильная дорога 60 ОП МЗ 60Н-47,
ст-ца. Верхнекундрюченская, ул. Центральная,
автомобильная дорога 60 ОП МЗ 60Н-47,
х. Черни, ул. Центральная,
автомобильная дорога 60 ОП МЗ 60Н-47,
автомобильная дорога 60 ОП РЗ 60К-10,
автомобильная дорога 60 ОП РЗ 60К-311,
рп. Усть-Донецкий, ул. Промышленная";"184.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"не ниже Euro-3";"21.05.2018";"ООО «Автосервис»";"346550, Ростовская область, р.п.Усть-Донецкий, ул. Промышленная, 21"
"607";"607";"910/2";"г. Ростов-на-Дону – п. Чертково – г. Ростов-на-Дону";"г. Каменск-Шахтинский,
рп. Глубокий,
п. Тарасовский,
г. Миллерово,
с. Алексеево-Лозовское";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Каменск-Шахтинский, ул. Пивоварова,
г. Каменск-Шахтинский, ул. Советская,
г. Каменск-Шахтинский, ул. Народная,
г. Каменск-Шахтинский, ул. Красная,
автомобильная дорога М-4 'Дон',
п. Тарасовский, ул. Островского,
п. Тарасовский, ул. Чехова,
п. Тарасовский, ул. Гагарина,
п. Тарасовский, ул. Садовая,
п. Тарасовский, ул. Островского,
г. Миллерово, ул. Артиллерийская,
г. Миллерово, ул. Российская,
г. Миллерово, ул. Крупской,
г. Миллерово, ул. Шолохова,
г. Миллерово, ул. 3 Интернационала,
автомобильная дорога М-4 'Дон',
с. Алексеево-Лозовское, ул. Лисичкина,
с. Алексеево-Лозовское, пер. Лисичкина,
с. Алексеево-Лозовское, ул. А.Маркина,
с. Алексеево-Лозовское, ул. Лисичкина,
автомобильная дорога 60 ОП РЗ 60К-327,
п. Чертково";"322.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"не ниже Euro-4";"27.11.2013";"ООО «Стилет»";"346782, Ростовская область, г. Азов, ул. Привокзальная, 4"
"608";"608";"875/6";"г. Ростов-на-Дону – г. Шахты ";"";"прямое направление:,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции,
обратное направление:,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, ул. Маяковского,
г. Шахты, пер. Громова,
г. Шахты, ул. Дачная,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, ул. Текучева,
г. Ростов-на-Дону, пер. Приволжский,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная";"79.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"не ниже Euro-3";"21.05.2018";"ООО «Интертехсервис»";"344012, г. Ростов-на-Дону, ул. Механизаторов, 11"
"609";"609";"875/5";"г. Ростов-на-Дону – г. Шахты ";"";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции";"79.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"не ниже Euro-3";"15.05.2018";"ИП Пигарев Иван Григорьевич";""
"610";"610";"875/4";"г. Ростов-на-Дону – г. Шахты ";"";"г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции";"74.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"не ниже Euro-3";"18.05.2018";"ООО «Янтарь 1»";"344025, г. Ростов-на-Дону, ул. В. Черевичкина, 66,  литер АА1, офис 31А"
"611";"611";"875/5";"г. Ростов-на-Дону – г. Шахты – г. Ростов-на-Дону";"";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции";"79.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-4";"27.11.2013";"ИП Пигарев Иван Григорьевич";""
"612";"612";"875/5";"г. Ростов-на-Дону – г. Шахты – г. Ростов-на-Дону";"";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции";"79.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-4";"27.11.2013";"ИП Пигарев Иван Григорьевич";""
"613";"613";"875/7";"г. Ростов-на-Дону – г. Шахты – г. Ростов-на-Дону";"г. Ростов-на-Дону, пр-кт. Шолохова (Пригородный автовокзал)";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции";"79.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"16.12.2013";"- не определен";"-"
"614";"614";"606";"г. Ростов-на-Дону – п. Шолоховский – г.  Ростов-на-Дону";"г. Белая Калитва";"г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-260,
автомобильная дорога 60 ОП РЗ 60К-86,
г. Белая Калитва, ул. Щаденко,
автомобильная дорога 60 ОП РЗ 60К-87,
автомобильная дорога А-260,
автомобильная дорога 60 ОП МЗ 60Н-90,
рп. Шолоховский, ул. Социалистическая,
рп. Шолоховский, ул. Пушкина";"197.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-4";"03.12.2013";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"615";"615";"830";"г. Ростов-на-Дону – п. Южный ";"х. Сусат,
г. Семикаракорск, ул. Авилова, 10,
п. Нижний Саловск,
п. Вершинный,
х. Бакланники,
х. Страхов,
х. Шаминка,
х. Топилин,
п. Крутобережный,
сл. Большая Орловка,
х. Сальский Кагальник,
х. Малоорловский,
х. Лесной,
х. Новоселовка,
сл. Большая Мартыновка";"г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-4.1,
г. Семикаракорск, ул. Калинина,
г. Семикаракорск, пер. 1-й,
г. Семикаракорск, ул. Авилова,
автомобильная дорога 60 ОП РЗ 60К-4.2,
автомобильная дорога 60 ОП РЗ 60К-14,
сл. Большая Орловка, ул. Революционная,
сл. Большая Орловка, ул. Дорожная,
автомобильная дорога 60 ОП РЗ 60К-14,
сл. Большая Мартыновка, пер. Зыгина,
сл. Большая Мартыновка, ул. Кабардино-Балкарская,
сл. Большая Мартыновка, пер. Зыгина,
автомобильная дорога 60 ОП РЗ 60К-14,
автомобильная дорога 60 ОП РЗ 60К-12,
п. Южный, пер. Административный";"231.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"не ниже Euro-2";"15.05.2018";"ООО «Меркел Бус»";"346660, Ростовская область, Мартыновский район, сл. Большая Мартыновка, ул. Кабардино-Балкарская, 76 «б»"
"616";"616";"829";"г. Ростов-на-Дону – п. Юловский ";"х. Усьман,
п. Междупольный,
п. Малый Лог,
х. Красное Знамя,
х. Позднеевка,
х. Красный Кут,
п. Веселый,
х. Каракашев,
х. Казачий,
х. Прогресс,
х. Красный Октябрь,
х. Красный Маныч,
п. Степной Курган,
п. Тальники,
п. Новоярки,
п. Новостепной,
п. Белозерный,
п. Супрун";"г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-4.1,
автомобильная дорога 60 ОП РЗ 60К-13,
п. Веселый, ул. Октябрьская,
автомобильная дорога 60 ОП РЗ 60К-13,
автомобильная дорога 60 ОП МЗ 60Н-289,
п. Юловский, ул. Ленина";"175.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"02.03.2018";"ООО «Меркел Бус»";"346660, Ростовская область, Мартыновский район, сл. Большая Мартыновка, ул. Кабардино-Балкарская, 76 «б»"
"618";"618";"841";"г. Сальск – г. Новочеркасск – г. Сальск";"п. Гигант (трасса),
п. Сеятель (трасса),
п. Целина,
п. Вороново (трасса),
ст-ца. Егорлыкская,
х. Изобильный (трасса),
ст-ца. Мечетинская (трасса),
г. Зерноград (трасса),
ст-ца. Кагальницкая,
ст-ца. Кировская,
г. Батайск, мкр. Авиагородок (трасса),
г. Ростов-на-Дону";"г. Сальск, ул. Трактовая,
автомобильная дорога 60 ОП РЗ 60К-3,
п. Целина, ул. Красная,
п. Целина, ул. 50 лет Советской Армии,
п. Целина, ул. 1-я линия,
п. Целина, ул. Транспортная,
п. Целина, ул. 7-я линия,
автомобильная дорога 60 ОП РЗ 60К-3,
ст-ца. Егорлыкская, ул. Ворошилова,
автомобильная дорога 60 ОП РЗ 60Р-1,
ст-ца. Кагальницкая, пер. Кольцовский,
автомобильная дорога 60 ОП РЗ 60Р-1,
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-76 ,
г. Новочеркасск, ул. Ростовское шоссе,
г. Новочеркасск, пр-кт. Баклановский";"231.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-3";"02.09.2013";"ЗАО «АТП №5»";"344038, Ростовская область, г. Ростов-на-Дону, ул. Нансена, 99"
"619";"619";"842/1";"г. Сальск – с. Песчанокопское – г. Сальск";"с. Николаевка,
с. Поливянка,
с. Развильное";"г. Сальск, ул. Пушкина,
г. Сальск, ул. Ворошилова,
г. Сальск, ул. Димитрова,
г. Сальск, ул. Свободы,
г. Сальск, ул. Трактовая,
автомобильная дорога 60 ОП РЗ 60К-2,
автомобильная дорога 60 ОП МЗ 60Н-262,
с. Николаевка, ул. Партизанская,
автомобильная дорога 60 ОП МЗ 60Н-262,
с. Поливянка, ул. Советская,
с. Развильное, ул. Жолоба,
с. Развильное, ул. Колхозная,
с. Развильное, ул. Ростовская,
автомобильная дорога 60 ОП РЗ 60К-2,
автомобильная дорога 60 ОП РЗ 60К-260,
с. Песчанокопское, ул. Энгельса";"77.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-3";"02.09.2013";"ЗАО «АТП №5»";"344038, Ростовская область, г. Ростов-на-Дону, ул. Нансена, 99"
"620";"620";"842/2";"г. Сальск – с. Песчанокопское – г. Сальск (через с. Развильное)";"с. Развильное";"г. Сальск, ул. Пушкина,
г. Сальск, ул. Ворошилова,
г. Сальск, ул. Димитрова,
г. Сальск, ул. Свободы,
г. Сальск, ул. Трактовая,
автомобильная дорога 60 ОП РЗ 60К-2,
автомобильная дорога 60 ОП МЗ 60Н-266,
с. Развильное, ул. Жолоба,
с. Развильное, ул. Колхозная,
с. Развильное, ул. Ростовская,
автомобильная дорога 60 ОП РЗ 60К-2,
автомобильная дорога 60 ОП РЗ 60К-260,
с. Песчанокопское, ул. Энгельса";"62.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"";"05.05.2015";"- не определен";"-"
"621";"621";"840/1";"г. Сальск – г. Ростов-на-Дону – г. Сальск";"п. Гигант (трасса),
п. Сеятель (трасса),
п. Целина,
п. Вороново (трасса),
ст-ца. Егорлыкская,
х. Изобильный (трасса),
ст-ца. Мечетинская (трасса),
г. Зерноград (пост ДПС),
ст-ца. Кагальницкая,
ст-ца. Кировская,
г. Батайск, мкр. Авиагородок (трасса)";"г. Сальск, ул. Трактовая,
автомобильная дорога 60 ОП РЗ 60К-3,
п. Целина, ул. Красная,
п. Целина, ул. 50 лет Советской Армии,
п. Целина, ул. 1-я линия,
п. Целина, ул. Транспортная,
п. Целина, ул. 7-я линия,
автомобильная дорога 60 ОП РЗ 60К-3,
ст-ца. Егорлыкская, ул. Ворошилова,
автомобильная дорога 60 ОП РЗ 60Р-1,
ст-ца. Кагальницкая, пер. Кольцовский,
автомобильная дорога 60 ОП РЗ 60Р-1,
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная";"190.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"не ниже Euro-3";"02.09.2013";"ЗАО «АТП №5»";"344038, Ростовская область, г. Ростов-на-Дону, ул. Нансена, 99"
"622";"622";"840/2";"г. Сальск – г. Ростов-на-Дону – г. Сальск";"";"";"0.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"6";"не ниже Euro-1";"24.05.2013";"- не определен";"-"
"623";"623";"901";"г. Семикаракорск – г. Ростов-на-Дону ";"";"г. Семикаракорск, ул. Авилова,
г. Семикаракорск, пер. 1-й,
г. Семикаракорск, ул. Калинина,
автомобильная дорога 60 ОП РЗ 60К-4.1,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова";"124.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Большой";"3";"не ниже Euro-2";"21.05.2013";"- не определен";"-"
"624";"624";"879/2";"г. Семикаракорск – г. Шахты";"г. Константиновск,
рп. Усть-Донецкий";"г. Семикаракорск, ул. Авилова,
автомобильная дорога 60 ОП РЗ 60К-4.2,
автомобильная дорога 60 ОП РЗ 60К-22,
г. Константиновск, ул. 24 Гвардейской Дивизии,
,
автомобильная дорога 60 ОП РЗ 60К-10,
,
рп. Усть-Донецкий,
,
автомобильная дорога 60 ОП РЗ60К-11,
,
г. Шахты, ул. Мелиховская,
г. Шахты, ул. Хабарова,
г. Шахты, ул. Делегатская,
г. Шахты, ул. Красинская,
г. Шахты, пер. Доронина,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции";"140.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"не ниже Euro-2";"21.05.2013";"- не определен";"-"
"625";"625";"880";"п. Синегорский – г. Шахты ";"х. Семимаячный,
х. Грушевка,
п. Равнинный,
х. Киреевка,
г. Шахты, пл. Артема,
г. Шахты, Машиносчетная,
г. Шахты, пл. Ленина,
г. Шахты, гипермаркет Магнит,
г. Шахты, пр-кт. Победа Революции / пер. Комиссаровский";"п. Синегорский, ул. Макарова,
автомобильная дорога 60 ОП РЗ 60К-15.1,
автомобильная дорога 60 ОП РЗ 60К-20,
автомобильная дорога 60 ОП РЗ 60К-30,
г. Шахты, ул. Горняцкая,
г. Шахты, пер. Довженко,
г. Шахты, пр-кт. Ленинского Комсомола,
г. Шахты, пер. Енисейский,
г. Шахты, ул. Ионова,
г. Шахты, пр-кт. Победа Революции";"68.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"21.05.2018";"ИП Кужелев Сергей Викторович";""
